name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
Loni pipeline,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://pipeline.loni.usc.edu/,-,http://dx.doi.org/10.1016/S1053-8119%2803%2900185-X,Academia,https://www.usc.edu/,"The LONI Pipeline workflow application includes features that allows users to easily describe their executables in a graphical user interface. Instead of manually managing intermediate data in a script, the LONI Pipeline handles the passing of data between programs for you. Once you’ve created a module for use in the LONI Pipeline, you can save it into your personal library and reuse it in other workflows you create by simply dragging and dropping it in.",,"GUI workflows, data processing, ruse pipelines",free,
cpipe,,,no,Inactive (2016-02-26),,Existing Workflow systems,,https://github.com/MelbourneGenomics/cpipe,,Alliance,https://www.melbournegenomics.org.au/about-us/who-we-are,Cpipe is a clinically focused exome sequencing pipeline developed by the Melbourne Genomics Health Alliance. Cpipe offers an industry standard variant calling pipeline with a suite of additional features needed by diagnostic laboratories added on top.,sequencing pipeline,genomic,yes,
AWE,,,maybe,Inactive,,Existing Workflow systems,https://mg-rast.github.io/AWE/,https://github.com/MG-RAST/AWE,https://doi.org/10.1109/BigData.2013.6691723,Academia,,A light weight workflow manager for scientific computing at scale,"CWL, cloud native, CWLProv, RESTFul API, containerization part of reproducible platform",,yes,
Skyport2,,,maybe,Inactive (2019),,Existing Workflow systems,,https://github.com/MG-RAST/Skyport2,,Academia,https://www.mg-rast.org/,"Skyport2 is a RESTful framework for large scale data management and reproducible multi-cloud workflow execution. Scientists and engineers are accustomed to using a different computer systems to accomplish scientific workflow execution. Skyport2 handles data management and execution of CWL workflows across. Data is stored in the RESTful SHOCK object store that handles indexing, subsetting and format conversions. SHOCK is programmable and can be customized to perform additional functions e.g. convert image formats. AWE worker nodes connect to the AWE resource manager and check execute workflows described in the common workflow language.","data managment, reproducible, multi-cloud workflow executuin",workflow execution,yes,
COMPs,(Py)COMPSs,COMP Superscaler,no,Active (2023-04-07),,Existing Workflow systems,https://www.bsc.es/research-and-development/software-and-apps/software-list/comp-superscalar/,https://github.com/bsc-wdc/compss,"https://doi.org/10.1007/s10723-013-9272-5 , https://doi.org/10.1016/j.softx.2015.10.004",Academia,https://www.bsc.es/research-and-development/software-and-apps/software-list/comp-superscalar/,"The COMP Superscalar (COMPSs) framework is mainly composed of a task-based programming model which aims to ease the development of parallel applications for distributed infrastructures, such as Clusters, Clouds and containerized platforms, and a runtime system that exploits the inherent parallelism of applications at execution time. The framework is complemented by a set of tools for facilitating the development, execution monitoring and post-mortem performance analysis.","big data, distributed computing, cloud, claster, container","parallel applicaiton, supercomputer",yes,
KLIKO,,,no,INactive (2017),,Existing Workflow systems,,https://github.com/gijzelaerr/kliko,https://doi.org/10.1016/j.ascom.2018.08.003,Academia,,"KLIKO is a specification, validator and parser for the KLIKO Scientific Compute Container specification. It enables a developer of scientific software to structure the input, output and parameters of a dockerized compute task. KLIKO is written in Python.","container, compute tasks",copute container specification,yes,
SoS Workflow,,,yes,Active (2023-04-07),,Existing Workflow systems,https://vatlab.github.io/sos-docs/,https://github.com/vatlab/SoS,https://doi.org/10.1371/journal.pcbi.1006843,Academia,https://vatlab.github.io/sos-docs/,"Script of Scripts (SoS) consists of SoS Notebook, a Jupyter-based polyglot notebook that allows the use of multiple Jupyter kernels in one notebook, and SoS Workflow, a workflow system for the execution of workflows in both process- and outcome-oriented styles. It is designed for data scientists and bioinformatics who routinely work with scripts in different languages such as bash, Python, R, and SAS. This repository contains the SoS Workflow workflow engine.","data analysis, workflow system, Jupyter Notebook, container",data science,yes,
XNAT Pipeline Engine,,,no,Active (2023-04-07),,Existing Workflow systems,https://www.xnat.org/,https://github.com/NrgXnat/xnat-pipeline-engine,https://doi.org/10.1385/NI:5:1:11,Academia,https://nrg.wustl.edu/,"XNAT is an open-source software platform developed to support imaging informatics research. The platform offers permission-controlled storage of imaging and clinical assessment data, as well as support for containerized data processing to support reproducible science. XNAT has been used in hundreds of research projects and clinical trials at institutions around the world.",pipeline,bioinformatics,yes,
Metapipe ,,,no,Inactive (2017),,Existing Workflow systems,,https://github.com/TorkamaniLab/metapipe,,Academia,https://www.scripps.edu/,"Metapipe is a simple command line tool for building and running complex analysis pipelines. If you use a PBS/Torque queue for cluster computing, or if you have complex batch processing that you want simplified, metapipe is the tool for you.","CLI, complex analysis pipeline, cluster computing",pipeline,yes,
OCCAM,,,yes,Active (2023-04-07),,Existing Workflow systems,https://occam.cs.pitt.edu/,https://occam.cs.pitt.edu/system/code,https://doi.org/10.1145/3214239.3214245,Academia,https://occam.cs.pitt.edu/publications,"Occam is a toolset for the preservation of rebuildable software and a self-hostable, federated web portal for composing repeatable workflows. Occam (If you like acronyms, you can say it means the Open Curation of Computation And Metadata) is a project that serve as the catalyst for the tools, education, and community-building needed to bring openness, accountability, comparability, and repeatability to software distribution and scientific digital exploration.","workflows, data association, repeatability, metadata, reproducible, code preservation","workflow, software, reproducible",yes,
Copernicus,,,no,Retired,404,Existing Workflow systems,http://www.copernicus-computing.org,,,,,,,,-,
iRODS Rule Language,,,no,Inactive (2014),,Existing Workflow systems,https://github.com/samuell/irods-cheatsheets/blob/master/irods-rule-lang-full-guide.md,,,Consortium,https://irods.org,,,,yes,
VisTrails,,,yes,Retired(2018),,Existing Workflow systems,https://www.vistrails.org,https://github.com/VisTrails/VisTrails,https://doi.org/10.1109/VISUAL.2005.1532788,Academia,,"VisTrails is an open-source data analysis and visualization tool. It provides a comprehensive provenance infrastructure that maintains detailed history information about the steps followed and data derived in the course of an exploratory task: VisTrails maintains provenance of data products, of the computational processes that derive these products and their executions.","provenance, workflow, data analysis",scientifix workflow managment system,yes,
Bionode,Bionode Watermill,,no,Inactive ,,Existing Workflow systems,,https://github.com/bionode/bionode-watermill,,open-source-community,https://www.bionode.io/,Bionode-watermill is a workflow engine that lets you assemble and run bioinformatic pipelines with ease and less overhead. Bionode-watermill pipelines are essentially node.js scripts in which tasks are the modules that will be assembled in the final pipeline using orchestrators.,"pipeline, workflow engine",bioinformatice,yes,
BIOVIA Pipeline Pilot Overview,,,no,Inactive,,Existing Workflow systems,http://hts.c2b2.columbia.edu/help/docs/ap_help/content/ap_help/intro/aep_overview.htm,,,Academia,,"The BIOVIA Pipeline Pilot Server is an application server that streamlines the integration and analysis of vast amounts of scientific data. Pipeline Pilot makes it easy to create scientific web services that can be used independently or as part of a company’s Service Oriented Architecture (SOA) strategy. Pipeline Pilot provides an agile development environment, fast and secure deployment, minimal maintenance costs, and application extensibility.",,,?,
DAGMan,Dagman A meta-scheduler for HTCondor,A meta-scheduler for HTCondor,no,Active (2023-04-07),,Existing Workflow systems,https://research.cs.wisc.edu/htcondor/dagman/dagman.html,,https://chtc.cs.wisc.edu/research.html,Academia,http://chtc.cs.wisc.edu/,DAGMan (Directed Acyclic Graph Manager) is a meta-scheduler for HTCondor. It manages dependencies between jobs at a higher level than the HTCondor Scheduler.,"workflow, HTCondor, dag",HTCondor,yes,
Unicore,,,no,Active (2023-04-07),,Existing Workflow systems,https://www.unicore.eu/docstore/workflow-7.6.0/workflow-manual.html#wf_dialect,https://github.com/UNICORE-EU/uftp,https://doi.org/10.1007/3-540-44681-8_116,Academia,https://www.unicore.eu/about-unicore/,"UNICORE is unique among federation middleware systems. The UNICORE 
design is based on several guiding principles, that serve as key 
objectives for further enhancements..The UNICORE Workflow System provides advanced workflow processing capabilities using UNICORE Grid resources. Its main components are the Workflow Engine and the Service Orchestrator. While the Workflow Engine provides high-level control constructs (for-each, while, if-then-else, etc), the Service Orchestrator contains a powerful, extensible resource broker, and deals with execution of single UNICORE jobs.","federation, HPC; workflow",super computing,yes,
Toil,,,maybe,Active (2023-04-07),,Existing Workflow systems,http://toil.ucsc-cgl.org/,https://github.com/DataBiosphere/toil,https://doi.org/10.1038/nbt.3772,Academia,http://toil.ucsc-cgl.org/,http://toil.ucsc-cgl.org/,"pipeline, cloud, scalable, CWL",genomic,yes,
Cylc,,,no,Active (2023-04-07),,Existing Workflow systems,https://cylc.github.io/,https://github.com/cylc/cylc-flow,https://doi.org/10.1109/MCSE.2019.2906593,Academia,https://cylc.github.io/,"Cylc is a general purpose workflow engine that also orchestrates cycling systems very efficiently. It is used in production weather, climate, and environmental forecasting on HPC, but is not specialized to those domains.","HPX, workflow",general purpose,yes,
Cloud Compute Cannon,Autodesk Cloud Compute Canon,,no,Inactive,,Existing Workflow systems,,https://github.com/Autodesk/cloud-compute-cannon,,commercial,https://www.autodesk.com/,"Cloud Compute Cannon (CCC) is a stack that provides an HTTP API for running arbitrary compute jobs that run in docker containers. Cloud Compute Cannon is designed to do one thing well: run docker-based 
compute jobs on any cloud provider (or your local machine) reliably, 
with a minimum or user intervention, and scale machines up and down as 
needed. Its feature set is purposefully limited, it is designed to be 
used standalone, or as a component in more complex tools, rather than be
 extended itself.","docker, local, cloud, REST, CLI",general purpose,yes,
